Representative,Time,Age,Congress Number,Original Legislative Efficiency,Modified Legislative Efficiency
Don Young,2019-01-03,85.5687885,116,3,3
Don Young,2021-01-03,87.57015743,117,#N/A,3
Henry Waxman,1975-01-03,35.3100616,94,1,1
Henry Waxman,1977-01-03,37.31143053,95,1,1
Henry Waxman,1979-01-03,39.3100616,96,3,3
Henry Waxman,1981-01-03,41.31143053,97,3,3
Henry Waxman,1983-01-03,43.3100616,98,3,3
Henry Waxman,1985-01-03,45.31143053,99,3,3
Henry Waxman,1987-01-03,47.3100616,100,3,3
Henry Waxman,1989-01-03,49.31143053,101,3,3
Henry Waxman,1991-01-03,51.3100616,102,3,3
Henry Waxman,1993-01-03,53.31143053,103,3,3
Henry Waxman,1995-01-03,55.3100616,104,1,1
Henry Waxman,1997-01-03,57.31143053,105,1,1
Henry Waxman,1999-01-03,59.3100616,106,1,1
Henry Waxman,2001-01-03,61.31143053,107,1,1
Henry Waxman,2003-01-03,63.3100616,108,2,2
Henry Waxman,2005-01-03,65.31143053,109,2,2
Henry Waxman,2007-01-03,67.3100616,110,2,2
Henry Waxman,2009-01-03,69.31143053,111,2,2
Henry Waxman,2011-01-03,71.3100616,112,1,1
Henry Waxman,2013-01-03,73.31143053,113,1,1
George Miller,1975-01-03,29.63175907,94,2,2
George Miller,1977-01-03,31.633128,95,2,2
George Miller,1979-01-03,33.63175907,96,3,3
George Miller,1981-01-03,35.633128,97,2,2
George Miller,1983-01-03,37.63175907,98,1,1
George Miller,1985-01-03,39.633128,99,2,2
George Miller,1987-01-03,41.63175907,100,2,2
George Miller,1989-01-03,43.633128,101,2,2
George Miller,1991-01-03,45.63175907,102,2,2
George Miller,1993-01-03,47.633128,103,2,2
George Miller,1995-01-03,49.63175907,104,3,3
George Miller,1997-01-03,51.633128,105,3,3
George Miller,1999-01-03,53.63175907,106,3,3
George Miller,2001-01-03,55.633128,107,2,2
George Miller,2003-01-03,57.63175907,108,2,2
George Miller,2005-01-03,59.633128,109,2,2
George Miller,2007-01-03,61.63175907,110,3,3
George Miller,2009-01-03,63.633128,111,2,2
George Miller,2011-01-03,65.63175907,112,1,1
George Miller,2013-01-03,67.633128,113,2,2
Ed Markey,1976-11-02,30.31348392,94,1,1
Ed Markey,1977-01-03,30.48323066,95,3,3
Ed Markey,1979-01-03,32.48186174,96,2,2
Ed Markey,1981-01-03,34.48323066,97,1,1
Ed Markey,1983-01-03,36.48186174,98,2,2
Ed Markey,1985-01-03,38.48323066,99,3,3
Ed Markey,1987-01-03,40.48186174,100,3,3
Ed Markey,1989-01-03,42.48323066,101,3,3
Ed Markey,1991-01-03,44.48186174,102,3,3
Ed Markey,1993-01-03,46.48323066,103,1,1
Ed Markey,1995-01-03,48.48186174,104,1,1
Ed Markey,1997-01-03,50.48323066,105,2,2
Ed Markey,1999-01-03,52.48186174,106,1,1
Ed Markey,2001-01-03,54.48323066,107,2,2
Ed Markey,2003-01-03,56.48186174,108,2,2
